amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
250-0563776-2231001	250-0563776-2231001	2022-03-24T17:19:04+09:00	2022-03-24T17:19:09+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホ 	L3-JQ85-GRB6	B07ZDDNJXQ	Unshipped	1	JPY	2480.0									東京都	151-0064	JP	
249-2858722-9645403		2022-03-24T15:04:33+09:00	2022-03-24T15:36:05+09:00	Pending	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】A201 ランニングアームバンド スポーツ スマホ アームバンド 指紋識別 OK タッチOK 防汗 軽量 小物収納 調節可能 iPhoneX、iPhone6/7/8plus、Samsung、 Androidなど 6インチまでのスマホに対応 (ブラック)	77-4R3H-SUVB	B07MDRBKJ7	Unshipped	1	JPY	780.0	71.0								石川県	920-3134	JP	
503-2915057-9387832	503-2915057-9387832	2022-03-24T12:39:32+09:00	2022-03-24T16:16:33+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の 	M5-KPD9-RB5V	B07RP581QF	Shipped	1	JPY	2180.0	198.0								千葉県	279-0042	JP	
503-4037508-3015066	503-4037508-3015066	2022-03-24T12:13:48+09:00	2022-03-24T17:02:39+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応  	D3-A97R-HYD6	B07SXQV8NQ	Shipped	1	JPY	1780.0	162.0								埼玉県	337-0001	JP	
250-7625170-3866230	250-7625170-3866230	2022-03-24T09:10:05+09:00	2022-03-24T12:08:15+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・ 	TU-NT1P-94U3	B089Y37ZLW	Shipped	1	JPY	2380.0	216.0								長野県	395-0803	JP	
503-9132344-6735056	503-9132344-6735056	2022-03-24T07:38:28+09:00	2022-03-24T16:15:56+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W002 子供の靴下 女の子 ソックス メッシュ素材 可愛い お姫様 学生用 通園通学 5足セット (B, x_l)	PZ-MY3D-O8VJ	B07RRJ3FXS	Shipped	1	JPY	1280.0	116.0								東京都	157-0066	JP	
249-2590398-2784633	249-2590398-2784633	2022-03-24T06:17:44+09:00	2022-03-24T18:06:30+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (L)	M9-RIG5-DRKF	B07SV1BD6S	Shipped	1	JPY	1380.0	125.0								岩手県	028-3615	JP	
250-1764577-5743814	250-1764577-5743814	2022-03-24T02:51:29+09:00	2022-03-24T02:51:35+09:00	Pending	Amazon	Amazon.co.jp			Standard	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	8Q-VTYS-YQ5Z	B07RNDQ5S7	Unshipped	1	JPY	1345.0								Kwai Chung	New Territories	000	HK	
503-1966544-5947837	503-1966544-5947837	2022-03-24T02:43:15+09:00	2022-03-24T18:18:11+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	T8-FSOJ-B0V1	B07C7PVL42	Shipped	1	JPY	698.0	63.0								新潟県	950-0971	JP	
249-7867035-3234244	249-7867035-3234244	2022-03-24T00:40:02+09:00	2022-03-24T00:40:08+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W009 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 5足セット	Q5-QNUI-E1XW	B07RTNM2SG	Unshipped	1	JPY	1180.0									神奈川県	248-0017	JP	
503-0966043-7735018	503-0966043-7735018	2022-03-23T23:01:22+09:00	2022-03-24T02:01:39+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, S)	EQ-E9S7-QXE3	B07K5QMCP2	Shipped	1	JPY	1580.0	144.0								愛知県	443-0022	JP	
250-0879977-5948625		2022-03-23T20:27:05+09:00	2022-03-23T20:57:19+09:00	Pending	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】 E015 スマートフォン用 スマホリング 持ちやすい リングスタンド ホールドリング 落下防止 星型 ☆型 スター型 (ゴールド)	7Y-BBJC-HSZ5	B075HKDBLX	Unshipped	1	JPY	428.0	39.0								静岡県	420-0881	JP	
503-2844096-4064614	503-2844096-4064614	2022-03-23T19:43:37+09:00	2022-03-24T15:07:34+09:00	Shipped	Amazon	Amazon.co.jp			Standard	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	8Q-VTYS-YQ5Z	B07RNDQ5S7	Shipped	1	JPY	1480.0	135.0	137.0	12.0				137.0		愛知県	470-2207	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
503-4113677-9377414		2022-03-23T19:33:43+09:00	2022-03-23T20:04:37+09:00	Pending	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】A064 iPhone 7/iPhone 7 Plus/iPhone 8/iPhone 8 Plus/iPhone X/iPhone Xs/iPhone Xs Max/iPhone XR/iPhone 11/iPhone 11 Pro/iPhone 11 Pro Max対応 ケース クリアケース スマホケース 高機能 シリコン 超薄型 0.8mm 超軽量 防指紋 耐衝撃 (iPhone11 Pro Max)	9C-BE03-VN10	B085WCJJJV	Unshipped	1	JPY	398.0	36.0								愛知県	441-8077	JP	
503-2950368-0023824	503-2950368-0023824	2022-03-23T18:34:27+09:00	2022-03-23T23:07:13+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・ 	74-MTWF-NKK7	B098DYTNQM	Shipped	1	JPY	2380.0	216.0								神奈川県	251-0002	JP	
250-3547024-6399063	250-3547024-6399063	2022-03-23T17:51:18+09:00	2022-03-24T16:13:01+09:00	Shipped	Amazon	Amazon.co.jp			Standard	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	T8-FSOJ-B0V1	B07C7PVL42	Shipped	1	JPY	698.0	63.0	205.0	19.0				205.0		岩手県	020-0851	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
