amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
249-9246572-2747021	249-9246572-2747021	2022-01-26T11:19:46+09:00	2022-01-26T17:15:15+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W019 子供の靴下 ベビー 幼児用 キッズ 子供 靴下 キッズ 女の子 男の子 5足セット 薄手 通気 夏 (M)	T1-N2NB-Q1TX	B07SY7458S	Shipped	1	JPY	1280.0	116.0								大阪府	559-8510	JP	
503-1003101-7900646	503-1003101-7900646	2022-01-26T10:25:22+09:00	2022-01-26T17:04:33+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	8Q-VTYS-YQ5Z	B07RNDQ5S7	Shipped	1	JPY	1480.0	135.0								奈良県	631-0072	JP	
250-3934573-3687828	250-3934573-3687828	2022-01-26T07:53:47+09:00	2022-01-27T17:05:11+09:00	Shipped	Amazon	Amazon.co.jp			Standard	【Smart-Bear】W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (L)	M9-RIG5-DRKF	B07SV1BD6S	Shipped	1	JPY	1380.0	125.0	205.0	19.0				205.0		大阪府	563-0028	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
250-9660914-9651862	250-9660914-9651862	2022-01-25T23:49:54+09:00	2022-01-28T06:39:20+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホ 	A2-QYCP-2JFZ	B09NHPFTJN	Shipped	1	JPY	2480.0	225.0								新潟県	950-0005	JP	
250-9660914-9651862	250-9660914-9651862	2022-01-25T23:49:54+09:00	2022-01-28T06:39:20+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホ 	K4-93OB-9REW	B09N2PR4CB	Shipped	1	JPY	2480.0	225.0								新潟県	950-0005	JP	
503-9641145-6507037	503-9641145-6507037	2022-01-25T23:25:34+09:00	2022-01-26T18:17:43+09:00	Shipped	Amazon	Amazon.co.jp			Standard	【Smart-Bear】W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (M)	IL-1DYL-IXMN	B07STZQL61	Shipped	1	JPY	1380.0	125.0								北海道	064-0953	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
503-7015874-0221429	503-7015874-0221429	2022-01-25T23:24:56+09:00	2022-01-26T04:48:25+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S)	91-7A3K-7U8I	B07RRJ3RVV	Shipped	1	JPY	1280.0	116.0								山梨県	400-0222	JP	
249-7277317-1847841	249-7277317-1847841	2022-01-25T22:56:53+09:00	2022-01-26T11:06:02+09:00	Shipped	Amazon	Amazon.co.jp			Standard	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	HM-5URZ-2K38	B07C7KGKBH	Shipped	1	JPY	698.0	63.0								千葉県	294-0826	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
250-1540236-3662218		2022-01-25T19:19:40+09:00	2022-01-26T15:10:18+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】A134 ファーウェイ Huawei P10/Huawei P10 lite/Huawei P10 Plus/honor 9対応 ケース 透明 クリアケース スマホケース	87-04G8-HB1X	B07F86WDQJ	Shipped	1	JPY	298.0	27.0								岐阜県	501-0521	JP	
503-6248493-9627821	503-6248493-9627821	2022-01-25T18:34:32+09:00	2022-01-26T02:09:48+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】T101 フード付きタオル 子供用 マントバスタオル ビーチタオル 子ども 超吸収性 赤ちゃんポンチョ  	CB-0QZI-OQCR	B07RRCXLD1	Shipped	1	JPY	1780.0	162.0								愛知県	478-0042	JP	
503-7183222-1363019	503-7183222-1363019	2022-01-25T18:30:16+09:00	2022-01-25T18:32:32+09:00	Cancelled	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】T101 フード付きタオル 子供用 マントバスタオル ビーチタオル 子ども 超吸収性 赤ちゃんポンチョ  	CB-0QZI-OQCR	B07RRCXLD1	Cancelled	0											愛知県	478-0042	JP	
250-1092917-3376667	250-1092917-3376667	2022-01-25T18:03:16+09:00	2022-01-26T01:54:16+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (S)	Z3-XTHR-KMEU	B07SY8KW7D	Shipped	1	JPY	1380.0	125.0								東京都	110-0008	JP	
