amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
503-9374492-8187055	503-9374492-8187055	2022-01-05T23:15:20+09:00	2022-01-05T23:17:26+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	8Q-VTYS-YQ5Z	B07RNDQ5S7	Unshipped	1	JPY	1480.0									兵庫県	674-0050	JP	
503-9403394-1067041	503-9403394-1067041	2022-01-05T23:14:38+09:00	2022-01-05T23:14:42+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W019 子供の靴下 ベビー 幼児用 キッズ 子供 靴下 キッズ 女の子 男の子 5足セット 薄手 通気 夏 (L)	UT-1YAF-6G6B	B07STZSQF2	Unshipped	1	JPY	1280.0									東京都	151-0066	JP	
249-7893891-3743027		2022-01-05T22:56:18+09:00	2022-01-05T23:01:41+09:00	Pending	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】 E015 スマートフォン用 スマホリング 持ちやすい リングスタンド ホールドリング 落下防止 星型 ☆型 スター型 (シルバー)	QM-VZZN-MPA1	B075HLL1FN	Unshipped	1	JPY	428.0	39.0								大阪府	574-0062	JP	
250-5560969-5818243	250-5560969-5818243	2022-01-05T22:18:04+09:00	2022-01-05T22:18:07+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W106 女の子 靴下 ガールズ くつした ストッキング 子供 ベイビー ダンス用 子ども お姫様の靴下 学 	UO-BDNS-6X77	B07WYZ4KGR	Unshipped	1	JPY	899.0									大阪府	586-0043	JP	
249-7497104-8289402	249-7497104-8289402	2022-01-05T20:32:44+09:00	2022-01-05T20:32:48+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホ 	QH-M533-IZEL	B09NHPHTSJ	Unshipped	1	JPY	2480.0									埼玉県	350-0314	JP	
250-6124532-0196601	250-6124532-0196601	2022-01-05T19:28:47+09:00	2022-01-05T19:29:57+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	N7-DJHE-BRRC	B09P8SVSXS	Unshipped	1	JPY	980.0									群馬県	372-0031	JP	
503-9286690-5587022		2022-01-05T17:03:30+09:00	2022-01-05T17:08:54+09:00	Pending	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】A064 iPhone 7/iPhone 7 Plus/iPhone 8/iPhone 8 Plus/iPhone X/iPhone Xs/iPhone Xs Max/iPhone XR/iPhone 11/iPhone 11 Pro/iPhone 11 Pro Max対応 ケース クリアケース スマホケース 高機能 シリコン 超薄型 0.8mm 超軽量 防指紋 耐衝撃 (iPhone11)	5Q-VSCK-CV99	B085WBTX2L	Unshipped	1	JPY	398.0	36.0								神奈川県	243-0424	JP	
249-8631465-5645436	249-8631465-5645436	2022-01-05T16:03:09+09:00	2022-01-05T16:03:13+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W110 子供用靴下秋と冬の新しい男の子綿の靴下赤ちゃん小さな子供漫画笑顔春と秋の長い靴下 幼児 	2G-4M7E-CPTT	B0829SLDXV	Unshipped	1	JPY	1380.0									東京都	140-0001	JP	
250-8349830-4264662	250-8349830-4264662	2022-01-05T15:50:17+09:00	2022-01-05T21:05:21+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	8Q-VTYS-YQ5Z	B07RNDQ5S7	Shipped	1	JPY	1480.0	135.0								長野県	390-1101	JP	
249-7710945-4396607	249-7710945-4396607	2022-01-05T15:14:02+09:00	2022-01-05T15:15:09+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W019 子供の靴下 ベビー 幼児用 キッズ 子供 靴下 キッズ 女の子 男の子 5足セット 薄手 通気 夏 (L)	UT-1YAF-6G6B	B07STZSQF2	Unshipped	1	JPY	1280.0									長崎県	850-0057	JP	
