amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
250-0987824-7448628	250-0987824-7448628	2022-06-05T17:39:38+09:00	2022-06-05T17:42:05+09:00	Pending	Amazon	Amazon.co.jp			Standard	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・ 	EW-TDOM-26PY	B089WHLQGT	Unshipped	1	JPY	2780.0									千葉県	290-0034	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
250-4659069-7869460	250-4659069-7869460	2022-06-05T17:35:40+09:00	2022-06-05T17:37:38+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)	NR-5Z4P-2YBS	B07RNDMDMY	Unshipped	1	JPY	1380.0									Tokyo-to	154-0011	JP	
503-7724575-3401411	503-7724575-3401411	2022-06-05T16:47:55+09:00	2022-06-05T16:47:58+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	T8-FSOJ-B0V1	B07C7PVL42	Unshipped	1	JPY	798.0									東京都	121-0836	JP	
503-4656863-3238216	503-4656863-3238216	2022-06-05T16:24:28+09:00	2022-06-05T16:25:58+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	N7-DJHE-BRRC	B09P8SVSXS	Unshipped	1	JPY	980.0									東京都	194-0212	JP	
249-9242732-8051039	249-9242732-8051039	2022-06-05T16:23:49+09:00	2022-06-05T16:23:53+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花  	V6-3DBB-5J62	B07RN3QRFD	Unshipped	1	JPY	2180.0									鹿児島県	891-4207	JP	
249-6077431-2253404	249-6077431-2253404	2022-06-05T15:15:07+09:00	2022-06-05T15:15:10+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・ 	49-XIYM-U7XE	B089WH2RHR	Unshipped	1	JPY	2580.0									東京都	190-0022	JP	
249-8769658-0273459	249-8769658-0273459	2022-06-05T13:02:44+09:00	2022-06-05T13:02:49+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, L)	N9-GB8J-KI9M	B07K5S9ZFC	Unshipped	1	JPY	1780.0									群馬県	371-0825	JP	
503-3785462-0089452	503-3785462-0089452	2022-06-05T11:42:52+09:00	2022-06-05T11:44:12+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	LR-3KLG-FCBD	B09P8V2ZC7	Unshipped	1	JPY	980.0									愛知県	448-0862	JP	
250-8452152-8625438	250-8452152-8625438	2022-06-05T09:24:25+09:00	2022-06-05T16:43:44+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の 	D7-IW96-J4L1	B07RQ4V5TL	Unshipped	1	JPY	2380.0	216.0								東京都	164-0011	JP	
249-3493837-6907059	249-3493837-6907059	2022-06-05T09:00:06+09:00	2022-06-05T13:04:50+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】T101 フード付きタオル 子供用 マントバスタオル ビーチタオル 子ども 超吸収性 赤ちゃんポンチョ  	SI-EW2B-SYU1	B07RRD55DH	Unshipped	1	JPY	1980.0									栃木県	322-0049	JP	
