amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
249-1706261-9340639	249-1706261-9340639	2022-05-17T13:04:15+09:00	2022-05-17T13:06:21+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	EC-FOVX-FOBJ	B07C76HMBS	Unshipped	1	JPY	798.0									福岡県	812-0054	JP	
503-7750106-3023845	503-7750106-3023845	2022-05-17T12:29:25+09:00	2022-05-17T12:29:29+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホ 	K0-FLHZ-7ZA5	B09NJD26KC	Unshipped	1	JPY	2580.0									群馬県	379-2113	JP	
503-9394186-8749421	503-9394186-8749421	2022-05-17T11:50:35+09:00	2022-05-17T11:50:40+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・ 	TR-8MGZ-II7N	B089WG1M7S	Unshipped	1	JPY	2580.0									東京都	108-0073	JP	
503-7606735-4352611	503-7606735-4352611	2022-05-17T11:02:31+09:00	2022-05-17T11:02:35+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花  	PR-MQFU-S8KG	B07RP5F6PR	Unshipped	1	JPY	2180.0									兵庫県	676-0078	JP	
250-6787334-2935019	250-6787334-2935019	2022-05-17T09:23:08+09:00	2022-05-17T09:23:15+09:00	Pending	Amazon	Amazon.co.jp			Standard	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, M)	22-BGZI-G4D5	B0782YMNPM	Unshipped	1	JPY	1780.0									兵庫県	663-8113	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
249-7982091-1986269	249-7982091-1986269	2022-05-17T07:17:43+09:00	2022-05-17T07:17:47+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花  	AF-0BOJ-58FU	B07RP5RVVV	Unshipped	2	JPY	4360.0									神奈川県	254-0821	JP	購入割引 2019/08/30 7-48-17-928
503-0482351-7871032	503-0482351-7871032	2022-05-17T06:48:36+09:00	2022-05-17T10:20:57+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花  	LW-8PD5-8DC1	B07RS9PZVZ	Shipped	1	JPY	2180.0	198.0								東京都	183-0013	JP	
249-4082045-0278249	249-4082045-0278249	2022-05-17T01:16:35+09:00	2022-05-17T06:09:00+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W002 子供の靴下 女の子 ソックス メッシュ素材 可愛い お姫様 学生用 通園通学 5足セット (B, x_l)	PZ-MY3D-O8VJ	B07RRJ3FXS	Shipped	1	JPY	1380.0	125.0								大阪府	561-0872	JP	
503-4290252-0992659	503-4290252-0992659	2022-05-17T00:38:19+09:00	2022-05-17T00:44:03+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	JQ-MLRE-AH9L	B07C7NS57M	Unshipped	1	JPY	798.0									大阪府	555-0033	JP	
503-5517501-0454214	503-5517501-0454214	2022-05-16T22:59:56+09:00	2022-05-16T23:00:01+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, S)	EQ-E9S7-QXE3	B07K5QMCP2	Unshipped	1	JPY	1780.0									千葉県	272-0023	JP	
