amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
249-2437153-6679060	249-2437153-6679060	2019-12-31T21:21:18+09:00	2020-01-01T10:47:22+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	8Q-VTYS-YQ5Z	B07RNDQ5S7	Shipped	1	JPY	1180.0	107.0								東京都	136-0072	JP	
503-4638033-9391850	503-4638033-9391850	2019-12-31T01:44:13+09:00	2020-01-01T15:15:45+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W102 ガールズ 靴下 子供 キッズ 厚い 暖かい 秋 冬 防寒 靴下 ソックス 女の子 男の子 ウールソック 	AB-FKI2-ZULN	B07SW2G6Q1	Shipped	1	JPY	1280.0	116.0					37.0			福岡県	810-0066	JP	購入割引 2019/08/30 13-34-50-103
503-4638033-9391850	503-4638033-9391850	2019-12-31T01:44:13+09:00	2020-01-01T15:15:45+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W103 ガールズ ボーイ 靴下 子供 キッズ 笑顔 厚い 暖かい 秋 冬 防寒 靴下 ソックス 女の子 男の子 ウ	TT-0QJV-NBC3	B07WXMYS5F	Shipped	1	JPY	1180.0	107.0					37.0			福岡県	810-0066	JP	購入割引 2019/08/30 13-34-50-103
249-0225369-6543054	249-0225369-6543054	2019-12-30T19:41:42+09:00	2019-12-31T13:28:32+09:00	Shipped	Amazon	Amazon.co.jp			Standard	【Smart-Bear】W006 子供の靴下 ベビー 幼児用 キッズ 子供 靴下 笑顔 ジュニア キッズ クルー丈 カラフル 女の子 男	D9-5648-KNY4	B07RSL2W2K	Shipped	1	JPY	999.0	91.0	141.0	13.0				141.0		沖縄県	901-1104	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
249-6836166-8914232	249-6836166-8914232	2019-12-30T19:24:20+09:00	2020-01-01T06:34:33+09:00	Shipped	Amazon	Amazon.co.jp			Standard	【Smart-Bear】W002 子供の靴下 女の子 ソックス 子供の靴下ソックス 夏メッシュ素材 可愛い お姫様 学生用 通園通 	PZ-MY3D-O8VJ	B07RRJ3FXS	Shipped	1	JPY	899.0	82.0	118.0	11.0				118.0		静岡県	420-0901	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
503-7411046-6558242	503-7411046-6558242	2019-12-30T17:27:02+09:00	2019-12-31T11:23:30+09:00	Cancelled	Amazon	Amazon.co.jp			Standard	【Smart-Bear】W110 子供用靴下秋と冬の新しい男の子綿の靴下赤ちゃん小さな子供漫画笑顔春と秋の長い靴下 幼児 	2C-OMB5-LWES	B0829RCZH4	Cancelled	0											埼玉県	359-1164	JP	
249-0631988-4647062	249-0631988-4647062	2019-12-30T16:33:46+09:00	2019-12-30T23:50:47+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W103 ガールズ ボーイ 靴下 子供 キッズ 笑顔 厚い 暖かい 秋 冬 防寒 靴下 ソックス 女の子 男の子 ウ	CA-P5XV-Z32Z	B07WPH8QW6	Shipped	1	JPY	1180.0	107.0								Tokyo-to	164-0003	JP	
503-5031296-2595828	503-5031296-2595828	2019-12-30T11:50:17+09:00	2019-12-31T06:05:35+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, S)	EQ-E9S7-QXE3	B07K5QMCP2	Shipped	1	JPY	1680.0	153.0								東京都	112-0012	JP	
503-4803889-0591823	503-4803889-0591823	2019-12-30T11:47:54+09:00	2019-12-30T11:48:33+09:00	Cancelled	Amazon	Amazon.co.jp			Expedited	【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, S)	EQ-E9S7-QXE3	B07K5QMCP2	Cancelled	0											東京都	112-0013	JP	
249-2496168-6411815	249-2496168-6411815	2019-12-29T23:20:05+09:00	2019-12-30T06:24:15+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホ 	FG-HD5J-04QR	B07ZDDRS9W	Shipped	1	JPY	1980.0	180.0								神奈川県	248-0014	JP	
503-5316235-6849435	503-5316235-6849435	2019-12-29T17:09:17+09:00	2019-12-29T23:39:30+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W110 子供用靴下秋と冬の新しい男の子綿の靴下赤ちゃん小さな子供漫画笑顔春と秋の長い靴下 幼児 	OI-7LCF-JR5P	B0829SMZW4	Shipped	1	JPY	1380.0	125.0					42.0			千葉県	272-0111	JP	購入割引 2019/08/30 13-34-50-103
503-5316235-6849435	503-5316235-6849435	2019-12-29T17:09:17+09:00	2019-12-29T23:39:30+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W111ガールズ ボーイズ 靴下 子供 キッズ 厚い 暖かい 冬用 防寒 靴下 ソックス 女の子 ウールソック 	N3-RIAC-JHCV	B0829V456N	Shipped	1	JPY	1580.0	144.0					47.0			千葉県	272-0111	JP	購入割引 2019/08/30 13-34-50-103
250-9907026-8027054	250-9907026-8027054	2019-12-29T10:14:56+09:00	2019-12-30T02:33:19+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W110 子供用靴下秋と冬の新しい男の子綿の靴下赤ちゃん小さな子供漫画笑顔春と秋の長い靴下 幼児 	8L-YZ5B-QMPT	B0829T2RHN	Shipped	1	JPY	1380.0	125.0								兵庫県	658-0041	JP	
503-4628112-8031006	503-4628112-8031006	2019-12-28T15:47:47+09:00	2019-12-28T23:21:27+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W110 子供用靴下秋と冬の新しい男の子綿の靴下赤ちゃん小さな子供漫画笑顔春と秋の長い靴下 幼児 	2G-4M7E-CPTT	B0829SLDXV	Shipped	1	JPY	1380.0	125.0								東京都	154-0021	JP	
249-1642101-8356655	249-1642101-8356655	2019-12-28T13:03:06+09:00	2019-12-29T12:01:03+09:00	Shipped	Amazon	Amazon.co.jp			Standard	【Smart-Bear】W108 可愛い キッズ 靴下 子供 ボーイズ 靴下 男の子 車 星模様 抗菌防臭 吸汗吸湿 弾性 かわいい 通 	T0-1NR7-6BZT	B07Z8P8FT4	Shipped	1	JPY	1180.0	107.0	205.0	19.0				205.0		福岡県	834-0014	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
249-1642101-8356655	249-1642101-8356655	2019-12-28T13:03:06+09:00	2019-12-29T12:01:03+09:00	Shipped	Amazon	Amazon.co.jp			Standard	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホ 	A8-5E1R-YROC	B07ZDF2949	Shipped	1	JPY	1980.0	180.0	205.0	19.0				205.0		福岡県	834-0014	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
250-0808082-2963000	250-0808082-2963000	2019-12-28T09:04:17+09:00	2019-12-28T12:36:19+09:00	Shipped	Amazon	Amazon.co.jp			Standard	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホ 	L3-JQ85-GRB6	B07ZDDNJXQ	Shipped	1	JPY	1980.0	180.0	410.0	37.0						石川県	923-0832	JP	
250-0351495-1194234	250-0351495-1194234	2019-12-27T21:40:00+09:00	2020-01-03T09:26:51+09:00	Cancelled	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホ 	L3-JQ85-GRB6	B07ZDDNJXQ	Unshipped	1	JPY	1980.0									石川県	923-0832	JP	
503-9297051-2387859	503-9297051-2387859	2019-12-27T21:30:32+09:00	2019-12-28T07:07:01+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W111ガールズ ボーイズ 靴下 子供 キッズ 厚い 暖かい 冬用 防寒 靴下 ソックス 女の子 ウールソック 	N3-RIAC-JHCV	B0829V456N	Shipped	1	JPY	1580.0	144.0								千葉県	262-0032	JP	
250-1289332-0943003	250-1289332-0943003	2019-12-27T21:08:23+09:00	2019-12-28T12:43:46+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W010 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 5足セット	4A-DTGP-MQP7	B07RSL86XB	Shipped	1	JPY	999.0	91.0								東京都	136-0074	JP	
